model,overall_mse,mse_at_1hz,mse_at_3hz,mse_at_5hz,mse_at_7hz
FC,0.4011973802941841,0.23919717062123214,0.29327009045160735,0.43892287430555926,0.6321154618531131
RNN,0.41145163979176635,0.26521290744407267,0.3116209495526094,0.42073735465174134,0.6483164248841532
LSTM,0.39987614951454675,0.24688660211955446,0.3006560974396192,0.39931920300359314,0.652194112874149
