model,overall_mse,mse_at_1hz,mse_at_3hz,mse_at_5hz,mse_at_7hz
FC,0.590263253205443,0.06467832624912262,0.7250949740409851,0.5227766036987305,0.9676328301429749
RNN,0.3641474019378832,0.09837333858013153,0.10118070989847183,0.3295799195766449,0.9417529702186584
LSTM,0.6306059152296145,0.025290733203291893,0.8446403741836548,0.3192227780818939,1.2303401231765747
